text;processed;tokenized;lemmatized
УФАС: договоры с ЕРКЦ могли быть заключены под давлением;уфас договоры с еркц могли быть заключены под давлением;['уфас', 'договоры', 'с', 'еркц', 'могли', 'быть', 'заключены', 'под', 'давлением'];['уфас', 'договор', 'с', 'еркц', 'мочь', 'быть', 'заключить', 'под', 'давление']
Борьба с нелегальным игорным бизнесом продолжается;борьба с нелегальным игорным бизнесом продолжается;['борьба', 'с', 'нелегальным', 'игорным', 'бизнесом', 'продолжается'];['борьба', 'с', 'нелегальный', 'игорный', 'бизнес', 'продолжаться']
Плата за детские сады повысилась;плата за детские сады повысилась;['плата', 'за', 'детские', 'сады', 'повысилась'];['плата', 'за', 'детский', 'сад', 'повыситься']
Жители Тимирязево не хотят присоединяться к Томску;жители тимирязево не хотят присоединяться к томску;['жители', 'тимирязево', 'не', 'хотят', 'присоединяться', 'к', 'томску'];['житель', 'тимирязево', 'не', 'хотеть', 'присоединяться', 'к', 'томск']
В Томске впервые наложен крупный штраф за плохое содержание фасада;в томске впервые наложен крупный штраф за плохое содержание фасада;['в', 'томске', 'впервые', 'наложен', 'крупный', 'штраф', 'за', 'плохое', 'содержание', 'фасада'];['в', 'томск', 'впервые', 'наложить', 'крупный', 'штраф', 'за', 'плохой', 'содержание', 'фасад']
Депутаты добиваются признания за Томском статуса областного центра;депутаты добиваются признания за томском статуса областного центра;['депутаты', 'добиваются', 'признания', 'за', 'томском', 'статуса', 'областного', 'центра'];['депутат', 'добиваться', 'признание', 'за', 'томск', 'статус', 'областной', 'центр']
Почти треть томских школ с нового учебного года перейдут на новую систему оплаты труда;почти треть томских школ с нового учебного года перейдут на новую систему оплаты труда;['почти', 'треть', 'томских', 'школ', 'с', 'нового', 'учебного', 'года', 'перейдут', 'на', 'новую', 'систему', 'оплаты', 'труда'];['почти', 'треть', 'томский', 'школа', 'с', 'новый', 'учебный', 'год', 'перейти', 'на', 'новый', 'система', 'оплата', 'труд']
Британцы нахимичат;британцы нахимичат;['британцы', 'нахимичат'];['британец', 'нахимичат']
Плохие дороги требуют более 500 миллионов вложений;плохие дороги требуют более 500 миллионов вложений;['плохие', 'дороги', 'требуют', 'более', '500', 'миллионов', 'вложений'];['плохой', 'дорога', 'требовать', 'более', '500', 'миллион', 'вложение']
Предприниматели больше не намерены сдерживать цены на продукты;предприниматели больше не намерены сдерживать цены на продукты;['предприниматели', 'больше', 'не', 'намерены', 'сдерживать', 'цены', 'на', 'продукты'];['предприниматель', 'больше', 'не', 'намерен', 'сдерживать', 'цена', 'на', 'продукт']
На Правобережье подтвердились огромные запасы нефти;на правобережье подтвердились огромные запасы нефти;['на', 'правобережье', 'подтвердились', 'огромные', 'запасы', 'нефти'];['на', 'правобережье', 'подтвердиться', 'огромный', 'запас', 'нефть']
Губернатор: бензин на томских заправках начали разбавлять;губернатор бензин на томских заправках начали разбавлять;['губернатор', 'бензин', 'на', 'томских', 'заправках', 'начали', 'разбавлять'];['губернатор', 'бензин', 'на', 'томский', 'заправка', 'начать', 'разбавлять']
Губернатор взялся за реформирование ЖКХ;губернатор взялся за реформирование жкх;['губернатор', 'взялся', 'за', 'реформирование', 'жкх'];['губернатор', 'взяться', 'за', 'реформирование', 'жкх']
ФАС против «дочек» Газпрома и Роснефти;фас против дочек газпрома и роснефти;['фас', 'против', 'дочек', 'газпрома', 'и', 'роснефти'];['фас', 'против', 'дочка', 'газпром', 'и', 'роснефть']
Некий таинственный инвестор заставил чиновников шевелиться;некий таинственный инвестор заставил чиновников шевелиться;['некий', 'таинственный', 'инвестор', 'заставил', 'чиновников', 'шевелиться'];['некий', 'таинственный', 'инвестор', 'заставить', 'чиновник', 'шевелиться']
На ямочный ремонт дорог потратят 20 миллионов рублей;на ямочный ремонт дорог потратят 20 миллионов рублей;['на', 'ямочный', 'ремонт', 'дорог', 'потратят', '20', 'миллионов', 'рублей'];['на', 'ямочный', 'ремонт', 'дорога', 'потратить', '20', 'миллион', 'рубль']
Кто будет печатать жировки?;кто будет печатать жировки;['кто', 'будет', 'печатать', 'жировки'];['кто', 'быть', 'печатать', 'жировка']
Губернатор позвал Германию в томскую коммуналку;губернатор позвал германию в томскую коммуналку;['губернатор', 'позвал', 'германию', 'в', 'томскую', 'коммуналку'];['губернатор', 'позвать', 'германия', 'в', 'томский', 'коммуналка']
Несовершенство закона стало причиной бесконтрольной вырубки лесов;несовершенство закона стало причиной бесконтрольной вырубки лесов;['несовершенство', 'закона', 'стало', 'причиной', 'бесконтрольной', 'вырубки', 'лесов'];['несовершенство', 'закон', 'стать', 'причина', 'бесконтрольный', 'вырубка', 'лес']
Томская область и Лотарингия могут начать сотрудничать в сфере ядерной медицины;томская область и лотарингия могут начать сотрудничать в сфере ядерной медицины;['томская', 'область', 'и', 'лотарингия', 'могут', 'начать', 'сотрудничать', 'в', 'сфере', 'ядерной', 'медицины'];['томский', 'область', 'и', 'лотарингия', 'мочь', 'начать', 'сотрудничать', 'в', 'сфера', 'ядерный', 'медицина']
Антимонопольщики рассмотрят дело о поборах в аэропорту;антимонопольщики рассмотрят дело о поборах в аэропорту;['антимонопольщики', 'рассмотрят', 'дело', 'о', 'поборах', 'в', 'аэропорту'];['антимонопольщик', 'рассмотреть', 'дело', 'о', 'поборах', 'в', 'аэропорт']
Атомщики готовят презентацию новой АЭС;атомщики готовят презентацию новой аэс;['атомщики', 'готовят', 'презентацию', 'новой', 'аэс'];['атомщик', 'готовить', 'презентация', 'новый', 'аэс']
Каждый томич может внести вклад в празднование юбилея Победы;каждый томич может внести вклад в празднование юбилея победы;['каждый', 'томич', 'может', 'внести', 'вклад', 'в', 'празднование', 'юбилея', 'победы'];['каждый', 'томич', 'мочь', 'внести', 'вклад', 'в', 'празднование', 'юбилей', 'победа']
За достижения в обучении учителям будут платить больше;за достижения в обучении учителям будут платить больше;['за', 'достижения', 'в', 'обучении', 'учителям', 'будут', 'платить', 'больше'];['за', 'достижение', 'в', 'обучение', 'учитель', 'быть', 'платить', 'больше']
Томские ученые доказывают пользу своих изобретений;томские ученые доказывают пользу своих изобретений;['томские', 'ученые', 'доказывают', 'пользу', 'своих', 'изобретений'];['томский', 'учёный', 'доказывать', 'польза', 'свой', 'изобретение']
Губернатор налаживает экономические связи в Берлине;губернатор налаживает экономические связи в берлине;['губернатор', 'налаживает', 'экономические', 'связи', 'в', 'берлине'];['губернатор', 'налаживать', 'экономический', 'связь', 'в', 'берлин']
Шесть миллионов рублей на клумбы в губернаторском квартале;шесть миллионов рублей на клумбы в губернаторском квартале;['шесть', 'миллионов', 'рублей', 'на', 'клумбы', 'в', 'губернаторском', 'квартале'];['шесть', 'миллион', 'рубль', 'на', 'клумба', 'в', 'губернаторский', 'квартал']
Дело ЮКОСА живет и побеждает. «Роснефть» оспорила консолидацию ТГК-11;дело юкоса живет и побеждает роснефть оспорила консолидацию тгк 11;['дело', 'юкоса', 'живет', 'и', 'побеждает', 'роснефть', 'оспорила', 'консолидацию', 'тгк', '11'];['дело', 'юкос', 'жить', 'и', 'побеждать', 'роснефть', 'оспорить', 'консолидация', 'тгк', '11']
Кадровые перестановки в томской энергетике;кадровые перестановки в томской энергетике;['кадровые', 'перестановки', 'в', 'томской', 'энергетике'];['кадровый', 'перестановка', 'в', 'томский', 'энергетика']
Томичей ждет скачок цен на продукты;томичей ждет скачок цен на продукты;['томичей', 'ждет', 'скачок', 'цен', 'на', 'продукты'];['томичей', 'ждать', 'скачок', 'цена', 'на', 'продукт']
Власть договорилась о снижении цен на бензин;власть договорилась о снижении цен на бензин;['власть', 'договорилась', 'о', 'снижении', 'цен', 'на', 'бензин'];['власть', 'договориться', 'о', 'снижение', 'цена', 'на', 'бензин']
Новым промышленным зонам найдут площадки за городом;новым промышленным зонам найдут площадки за городом;['новым', 'промышленным', 'зонам', 'найдут', 'площадки', 'за', 'городом'];['новый', 'промышленный', 'зона', 'найти', 'площадка', 'за', 'город']
За год в Томске отремонтируют 164 многоквартирных дома;за год в томске отремонтируют 164 многоквартирных дома;['за', 'год', 'в', 'томске', 'отремонтируют', '164', 'многоквартирных', 'дома'];['за', 'год', 'в', 'томск', 'отремонтировать', '164', 'многоквартирный', 'дом']
Торговцы с рынка на Карла Маркса отправят делегатов в Москву;торговцы с рынка на карла маркса отправят делегатов в москву;['торговцы', 'с', 'рынка', 'на', 'карла', 'маркса', 'отправят', 'делегатов', 'в', 'москву'];['торговец', 'с', 'рынок', 'на', 'карл', 'маркс', 'отправить', 'делегат', 'в', 'москва']
Деревья пожалели;деревья пожалели;['деревья', 'пожалели'];['дерево', 'пожалеть']
Imperial Energy приступило к бурению нефтяных скважин в Томской области;приступило к бурению нефтяных скважин в томской области;['приступило', 'к', 'бурению', 'нефтяных', 'скважин', 'в', 'томской', 'области'];['приступить', 'к', 'бурение', 'нефтяной', 'скважина', 'в', 'томский', 'область']
Белый дом остался без внедорожника;белый дом остался без внедорожника;['белый', 'дом', 'остался', 'без', 'внедорожника'];['белый', 'дом', 'остаться', 'без', 'внедорожник']
В Томске резко подорожал бензин;в томске резко подорожал бензин;['в', 'томске', 'резко', 'подорожал', 'бензин'];['в', 'томск', 'резко', 'подорожать', 'бензин']
Альберт Вицке возглавил «Томский энергокомплекс»;альберт вицке возглавил томский энергокомплекс;['альберт', 'вицке', 'возглавил', 'томский', 'энергокомплекс'];['альберт', 'вицке', 'возглавить', 'томский', 'энергокомплекс']
Продолжаются внеплановые проверки маршрутных автобусов;продолжаются внеплановые проверки маршрутных автобусов;['продолжаются', 'внеплановые', 'проверки', 'маршрутных', 'автобусов'];['продолжаться', 'внеплановый', 'проверка', 'маршрутный', 'автобус']
"Агломерация ""Большой Томск"" будет создаваться эволюционным путем - первый вице-губернатор";агломерация большой томск будет создаваться эволюционным путем первый вице губернатор;['агломерация', 'большой', 'томск', 'будет', 'создаваться', 'эволюционным', 'путем', 'первый', 'вице', 'губернатор'];['агломерация', 'большой', 'томск', 'быть', 'создаваться', 'эволюционный', 'путь', 'первый', 'вице', 'губернатор']
"""Безлимитка"" от ""Сибирьтелекома""";безлимитка от сибирьтелекома;['безлимитка', 'от', 'сибирьтелекома'];['безлимитка', 'от', 'сибирьтелекома']
Чернобыльцам разрешили построить микрорайон;чернобыльцам разрешили построить микрорайон;['чернобыльцам', 'разрешили', 'построить', 'микрорайон'];['чернобылец', 'разрешить', 'построить', 'микрорайон']
Штраф за незаконно работающие игровые автоматы - миллион рублей;штраф за незаконно работающие игровые автоматы миллион рублей;['штраф', 'за', 'незаконно', 'работающие', 'игровые', 'автоматы', 'миллион', 'рублей'];['штраф', 'за', 'незаконно', 'работать', 'игровой', 'автомат', 'миллион', 'рубль']
В летних лагерях отдохнут более 17 тысяч томских подростков;в летних лагерях отдохнут более 17 тысяч томских подростков;['в', 'летних', 'лагерях', 'отдохнут', 'более', '17', 'тысяч', 'томских', 'подростков'];['в', 'летний', 'лагерь', 'отдохнуть', 'более', '17', 'тысяча', 'томский', 'подросток']
Переезд рынка с улицы Карла Маркса;переезд рынка с улицы карла маркса;['переезд', 'рынка', 'с', 'улицы', 'карла', 'маркса'];['переезд', 'рынок', 'с', 'улица', 'карл', 'маркс']
Начинается выплата недополученных денег по уходу за детьми;начинается выплата недополученных денег по уходу за детьми;['начинается', 'выплата', 'недополученных', 'денег', 'по', 'уходу', 'за', 'детьми'];['начинаться', 'выплата', 'недополученный', 'деньга', 'по', 'уход', 'за', 'ребёнок']
Перебоев с водой у томичей не возникнет, заверяет городская власть;перебоев с водой у томичей не возникнет заверяет городская власть;['перебоев', 'с', 'водой', 'у', 'томичей', 'не', 'возникнет', 'заверяет', 'городская', 'власть'];['перебой', 'с', 'вода', 'у', 'томич', 'не', 'возникнуть', 'заверять', 'городской', 'власть']
Кресс пригрозил энергетикам кадровыми перестановками;кресс пригрозил энергетикам кадровыми перестановками;['кресс', 'пригрозил', 'энергетикам', 'кадровыми', 'перестановками'];['кресс', 'пригрозить', 'энергетик', 'кадровый', 'перестановка']
В Томск поступили деньги на реформирование ЖКХ;в томск поступили деньги на реформирование жкх;['в', 'томск', 'поступили', 'деньги', 'на', 'реформирование', 'жкх'];['в', 'томск', 'поступить', 'деньга', 'на', 'реформирование', 'жкх']
Когда придут нормальные квитанции?;когда придут нормальные квитанции;['когда', 'придут', 'нормальные', 'квитанции'];['когда', 'прийти', 'нормальный', 'квитанция']
Строительные компании задолжали городу 37 миллионов рублей;строительные компании задолжали городу 37 миллионов рублей;['строительные', 'компании', 'задолжали', 'городу', '37', 'миллионов', 'рублей'];['строительный', 'компания', 'задолжать', 'город', '37', 'миллион', 'рубль']
Томскую землю предложат инвесторам;томскую землю предложат инвесторам;['томскую', 'землю', 'предложат', 'инвесторам'];['томский', 'земля', 'предложить', 'инвестор']
29-й маршрут начнет возить пассажиров с раннего утра;29 й маршрут начнет возить пассажиров с раннего утра;['29', 'й', 'маршрут', 'начнет', 'возить', 'пассажиров', 'с', 'раннего', 'утра'];['29', 'й', 'маршрут', 'начать', 'возить', 'пассажир', 'с', 'ранний', 'утро']
"МЧС презентовало ""Атлас рисков""";мчс презентовало атлас рисков;['мчс', 'презентовало', 'атлас', 'рисков'];['мчс', 'презентовать', 'атлас', 'риск']
«Томтел» заплатит 300 тысяч за упрямство;томтел заплатит 300 тысяч за упрямство;['томтел', 'заплатит', '300', 'тысяч', 'за', 'упрямство'];['томтел', 'заплатить', '300', 'тысяча', 'за', 'упрямство']
Антимонопольщики оштрафовали почту;антимонопольщики оштрафовали почту;['антимонопольщики', 'оштрафовали', 'почту'];['антимонопольщик', 'оштрафовать', 'почта']
Жилье - молодым;жилье молодым;['жилье', 'молодым'];['жильё', 'молодой']
14-процентную прибавку к зарплате бюджетников утвердили;14 процентную прибавку к зарплате бюджетников утвердили;['14', 'процентную', 'прибавку', 'к', 'зарплате', 'бюджетников', 'утвердили'];['14', 'процентный', 'прибавка', 'к', 'зарплата', 'бюджетник', 'утвердить']
Предприниматель лишился права застройки за самовольный снос деревьев;предприниматель лишился права застройки за самовольный снос деревьев;['предприниматель', 'лишился', 'права', 'застройки', 'за', 'самовольный', 'снос', 'деревьев'];['предприниматель', 'лишиться', 'право', 'застройка', 'за', 'самовольный', 'снос', 'дерево']
Коммунальный мост через Томь начнут ремонтировать с первого апреля;коммунальный мост через томь начнут ремонтировать с первого апреля;['коммунальный', 'мост', 'через', 'томь', 'начнут', 'ремонтировать', 'с', 'первого', 'апреля'];['коммунальный', 'мост', 'через', 'томь', 'начать', 'ремонтировать', 'с', 'первый', 'апрель']
Борис Мальцев: как распределять прибавку к зарплате бюджетникам - должны решить профсоюзы;борис мальцев как распределять прибавку к зарплате бюджетникам должны решить профсоюзы;['борис', 'мальцев', 'как', 'распределять', 'прибавку', 'к', 'зарплате', 'бюджетникам', 'должны', 'решить', 'профсоюзы'];['борис', 'мальцев', 'как', 'распределять', 'прибавка', 'к', 'зарплата', 'бюджетник', 'должный', 'решить', 'профсоюз']
Льготников освободили от долгов;льготников освободили от долгов;['льготников', 'освободили', 'от', 'долгов'];['льготник', 'освободить', 'от', 'долг']
Как Николайчук дворников считал;как николайчук дворников считал;['как', 'николайчук', 'дворников', 'считал'];['как', 'николайчук', 'дворник', 'считать']
Депутаты сегодня распределят надбавки бюджетникам;депутаты сегодня распределят надбавки бюджетникам;['депутаты', 'сегодня', 'распределят', 'надбавки', 'бюджетникам'];['депутат', 'сегодня', 'распределят', 'надбавка', 'бюджетник']
Управление автодорог приобрело автомобиль Mitsubishi Pajero за миллион рублей;управление автодорог приобрело автомобиль за миллион рублей;['управление', 'автодорог', 'приобрело', 'автомобиль', 'за', 'миллион', 'рублей'];['управление', 'автодорога', 'приобрести', 'автомобиль', 'за', 'миллион', 'рубль']
Первые резиденты Томской ОЭЗ в этом году смогут приступить к работе;первые резиденты томской оэз в этом году смогут приступить к работе;['первые', 'резиденты', 'томской', 'оэз', 'в', 'этом', 'году', 'смогут', 'приступить', 'к', 'работе'];['первый', 'резидент', 'томский', 'оэз', 'в', 'этот', 'год', 'смочь', 'приступить', 'к', 'работа']
Кресс позвал японцев развивать атомную отрасль;кресс позвал японцев развивать атомную отрасль;['кресс', 'позвал', 'японцев', 'развивать', 'атомную', 'отрасль'];['кресс', 'позвать', 'японец', 'развивать', 'атомный', 'отрасль']
На двух участках с залежами нефти прекращены геологоразведочные работы;на двух участках с залежами нефти прекращены геологоразведочные работы;['на', 'двух', 'участках', 'с', 'залежами', 'нефти', 'прекращены', 'геологоразведочные', 'работы'];['на', 'два', 'участок', 'с', 'залежами', 'нефть', 'прекратить', 'геологоразведочный', 'работа']
"Энергетики ""трясут"" долги";энергетики трясут долги;['энергетики', 'трясут', 'долги'];['энергетик', 'трясти', 'долг']
Томско-японское знакомство;томско японское знакомство;['томско', 'японское', 'знакомство'];['томско', 'японский', 'знакомство']
В Томске стартовал открытый конкурс архитекторов;в томске стартовал открытый конкурс архитекторов;['в', 'томске', 'стартовал', 'открытый', 'конкурс', 'архитекторов'];['в', 'томск', 'стартовать', 'открытый', 'конкурс', 'архитектор']
У «Томскводоканала» обмелели денежные потоки;у томскводоканала обмелели денежные потоки;['у', 'томскводоканала', 'обмелели', 'денежные', 'потоки'];['у', 'томскводоканала', 'обмелеть', 'денежный', 'поток']
Не выпускать из виду;не выпускать из виду;['не', 'выпускать', 'из', 'виду'];['не', 'выпускать', 'из', 'виду']
ТГК-11: остановка реакторов СХК не отразится на теплоснабжении Томска;тгк 11 остановка реакторов схк не отразится на теплоснабжении томска;['тгк', '11', 'остановка', 'реакторов', 'схк', 'не', 'отразится', 'на', 'теплоснабжении', 'томска'];['тгк', '11', 'остановка', 'реактор', 'схк', 'не', 'отразиться', 'на', 'теплоснабжение', 'томск']
Дорожные строители станут резидентами томской особой экономической зоны;дорожные строители станут резидентами томской особой экономической зоны;['дорожные', 'строители', 'станут', 'резидентами', 'томской', 'особой', 'экономической', 'зоны'];['дорожный', 'строитель', 'стать', 'резидент', 'томский', 'особый', 'экономический', 'зона']
"""Новапорт"" вложит в Богашево 180 миллионов долларов";новапорт вложит в богашево 180 миллионов долларов;['новапорт', 'вложит', 'в', 'богашево', '180', 'миллионов', 'долларов'];['новапорт', 'вложить', 'в', 'богашево', '180', 'миллион', 'доллар']
Правила содержания стройплощадок кардинально изменятся;правила содержания стройплощадок кардинально изменятся;['правила', 'содержания', 'стройплощадок', 'кардинально', 'изменятся'];['правило', 'содержание', 'стройплощадка', 'кардинально', 'измениться']
"Томских учителей ""кидают"" на повышение зарплаты";томских учителей кидают на повышение зарплаты;['томских', 'учителей', 'кидают', 'на', 'повышение', 'зарплаты'];['томский', 'учитель', 'кидать', 'на', 'повышение', 'зарплата']
Томичей не удалось поставить на счетчик;томичей не удалось поставить на счетчик;['томичей', 'не', 'удалось', 'поставить', 'на', 'счетчик'];['томич', 'не', 'удаться', 'поставить', 'на', 'счётчик']
SIBEX проявил биологическую активность;проявил биологическую активность;['проявил', 'биологическую', 'активность'];['проявить', 'биологический', 'активность']
Во всем виноваты машины?;во всем виноваты машины;['во', 'всем', 'виноваты', 'машины'];['в', 'всем', 'виноватый', 'машина']
Власти Томска вляпались по Ушайку;власти томска вляпались по ушайку;['власти', 'томска', 'вляпались', 'по', 'ушайку'];['власть', 'томск', 'вляпаться', 'по', 'ушайку']
В МЧС составили атлас рисков Томской области;в мчс составили атлас рисков томской области;['в', 'мчс', 'составили', 'атлас', 'рисков', 'томской', 'области'];['в', 'мчс', 'составить', 'атлас', 'риск', 'томский', 'область']
Хлеб в Томске начал дорожать;хлеб в томске начал дорожать;['хлеб', 'в', 'томске', 'начал', 'дорожать'];['хлеб', 'в', 'томск', 'начать', 'дорожать']
Из Томска в Тюмень и обратно по специальному тарифу;из томска в тюмень и обратно по специальному тарифу;['из', 'томска', 'в', 'тюмень', 'и', 'обратно', 'по', 'специальному', 'тарифу'];['из', 'томск', 'в', 'тюмень', 'и', 'обратно', 'по', 'специальный', 'тариф']
Реконструкция рынка на Карла Маркса: 140 человек остаются «за бортом»;реконструкция рынка на карла маркса 140 человек остаются за бортом;['реконструкция', 'рынка', 'на', 'карла', 'маркса', '140', 'человек', 'остаются', 'за', 'бортом'];['реконструкция', 'рынок', 'на', 'карл', 'маркс', '140', 'человек', 'оставаться', 'за', 'борт']
Сколько стоит вылечить туберкулез?;сколько стоит вылечить туберкулез;['сколько', 'стоит', 'вылечить', 'туберкулез'];['сколько', 'стоить', 'вылечить', 'туберкулёз']
Чиновники отправились на рынок;чиновники отправились на рынок;['чиновники', 'отправились', 'на', 'рынок'];['чиновник', 'отправиться', 'на', 'рынок']
Ремонт ливневки на Черемошниках оценен в 6 млн рублей;ремонт ливневки на черемошниках оценен в 6 млн рублей;['ремонт', 'ливневки', 'на', 'черемошниках', 'оценен', 'в', '6', 'млн', 'рублей'];['ремонт', 'ливневки', 'на', 'черемошниках', 'оценить', 'в', '6', 'млн', 'рубль']
Новые «жертвы» будущей дороги;новые жертвы будущей дороги;['новые', 'жертвы', 'будущей', 'дороги'];['новый', 'жертва', 'будущий', 'дорога']
"Стариков ""осчастливили"" на 164 рубля";стариков осчастливили на 164 рубля;['стариков', 'осчастливили', 'на', '164', 'рубля'];['старик', 'осчастливить', 'на', '164', 'рубль']
"В Томске начинается ""мусорная"" война";в томске начинается мусорная война;['в', 'томске', 'начинается', 'мусорная', 'война'];['в', 'томск', 'начинаться', 'мусорный', 'война']
Половину россиян не устраивают жилищные условия;половину россиян не устраивают жилищные условия;['половину', 'россиян', 'не', 'устраивают', 'жилищные', 'условия'];['половина', 'россиянин', 'не', 'устраивать', 'жилищный', 'условие']
Хотели как лучше – получилось как всегда;хотели как лучше получилось как всегда;['хотели', 'как', 'лучше', 'получилось', 'как', 'всегда'];['хотеть', 'как', 'лучше', 'получиться', 'как', 'всегда']
Налоги «давят» ТСЖ;налоги давят тсж;['налоги', 'давят', 'тсж'];['налог', 'давят', 'тсж']
Томским медикам прибавили зарплату;томским медикам прибавили зарплату;['томским', 'медикам', 'прибавили', 'зарплату'];['томский', 'медик', 'прибавить', 'зарплата']
За загрязнение Ушайки у мэрии требуют 25 миллионов рублей;за загрязнение ушайки у мэрии требуют 25 миллионов рублей;['за', 'загрязнение', 'ушайки', 'у', 'мэрии', 'требуют', '25', 'миллионов', 'рублей'];['за', 'загрязнение', 'ушайки', 'у', 'мэрия', 'требовать', '25', 'миллион', 'рубль']
«Томич» - один из самых рентабельных фирменных поездов;томич один из самых рентабельных фирменных поездов;['томич', 'один', 'из', 'самых', 'рентабельных', 'фирменных', 'поездов'];['томич', 'один', 'из', 'самых', 'рентабельный', 'фирменный', 'поезд']
Новое предприятие в Семилужках - прорыв в области биотехнологий;новое предприятие в семилужках прорыв в области биотехнологий;['новое', 'предприятие', 'в', 'семилужках', 'прорыв', 'в', 'области', 'биотехнологий'];['новый', 'предприятие', 'в', 'семилужках', 'прорыв', 'в', 'область', 'биотехнология']
"""Электрический"" конфликт разрешен";электрический конфликт разрешен;['электрический', 'конфликт', 'разрешен'];['электрический', 'конфликт', 'разрешить']
"Томский фонд ОМС хочет ""отщипнуть"" от ОСАГО";томский фонд омс хочет отщипнуть от осаго;['томский', 'фонд', 'омс', 'хочет', 'отщипнуть', 'от', 'осаго'];['томский', 'фонд', 'омс', 'хотеть', 'отщипнуть', 'от', 'осаго']
Власть решила отреставрировать усадьбу Грацианова;власть решила отреставрировать усадьбу грацианова;['власть', 'решила', 'отреставрировать', 'усадьбу', 'грацианова'];['власть', 'решить', 'отреставрировать', 'усадьба', 'грацианов']
Платишь - свет, а не платишь - тьма;платишь свет а не платишь тьма;['платишь', 'свет', 'а', 'не', 'платишь', 'тьма'];['платить', 'свет', 'а', 'не', 'платишь', 'тьма']
За игровые автоматы – штраф в миллион рублей;за игровые автоматы штраф в миллион рублей;['за', 'игровые', 'автоматы', 'штраф', 'в', 'миллион', 'рублей'];['за', 'игровой', 'автомат', 'штраф', 'в', 'миллион', 'рубль']
Первые жертвы паводка;первые жертвы паводка;['первые', 'жертвы', 'паводка'];['первый', 'жертва', 'паводок']
Томские чиновники не должны работать на иностранцев;томские чиновники не должны работать на иностранцев;['томские', 'чиновники', 'не', 'должны', 'работать', 'на', 'иностранцев'];['томский', 'чиновник', 'не', 'должный', 'работать', 'на', 'иностранец']
Томский энергокомплекс будет оспаривать штраф в суде;томский энергокомплекс будет оспаривать штраф в суде;['томский', 'энергокомплекс', 'будет', 'оспаривать', 'штраф', 'в', 'суде'];['томский', 'энергокомплекс', 'быть', 'оспаривать', 'штраф', 'в', 'суд']
Белый дом подписал с Астаной соглашение о сотрудничестве;белый дом подписал с астаной соглашение о сотрудничестве;['белый', 'дом', 'подписал', 'с', 'астаной', 'соглашение', 'о', 'сотрудничестве'];['белый', 'дом', 'подписать', 'с', 'астана', 'соглашение', 'о', 'сотрудничество']
Народный контроль: как исполняется бюджет;народный контроль как исполняется бюджет;['народный', 'контроль', 'как', 'исполняется', 'бюджет'];['народный', 'контроль', 'как', 'исполняться', 'бюджет']
Мэр Северска выступает за объединение с Томском;мэр северска выступает за объединение с томском;['мэр', 'северска', 'выступает', 'за', 'объединение', 'с', 'томском'];['мэр', 'северск', 'выступать', 'за', 'объединение', 'с', 'томск']
Кресс зовет Казахстан в томские леса;кресс зовет казахстан в томские леса;['кресс', 'зовет', 'казахстан', 'в', 'томские', 'леса'];['кресс', 'звать', 'казахстан', 'в', 'томский', 'лес']
Новороссийские депутаты рассмотрят вопрос установления побратимских отношений с Томском;новороссийские депутаты рассмотрят вопрос установления побратимских отношений с томском;['новороссийские', 'депутаты', 'рассмотрят', 'вопрос', 'установления', 'побратимских', 'отношений', 'с', 'томском'];['новороссийский', 'депутат', 'рассмотреть', 'вопрос', 'установление', 'побратимских', 'отношение', 'с', 'томск']
Русские автобусы приближаются к Томску;русские автобусы приближаются к томску;['русские', 'автобусы', 'приближаются', 'к', 'томску'];['русский', 'автобус', 'приближаться', 'к', 'томск']
